ppds_cityid,ppds_name
c48f2a29-7ae2-f011-8543-000d3a3b9cba,Brookwood
c58f2a29-7ae2-f011-8543-000d3a3b9cba,Brownsboro
c68f2a29-7ae2-f011-8543-000d3a3b9cba,Brundidge
c78f2a29-7ae2-f011-8543-000d3a3b9cba,Bryant
c88f2a29-7ae2-f011-8543-000d3a3b9cba,Bucks
c98f2a29-7ae2-f011-8543-000d3a3b9cba,Buhl
ca8f2a29-7ae2-f011-8543-000d3a3b9cba,Burnt Corn
cb8f2a29-7ae2-f011-8543-000d3a3b9cba,Burnwell
cc8f2a29-7ae2-f011-8543-000d3a3b9cba,Butler
cd8f2a29-7ae2-f011-8543-000d3a3b9cba,Bynum
ce8f2a29-7ae2-f011-8543-000d3a3b9cba,Calera
cf8f2a29-7ae2-f011-8543-000d3a3b9cba,Saint Elmo
d08f2a29-7ae2-f011-8543-000d3a3b9cba,Montevallo
d18f2a29-7ae2-f011-8543-000d3a3b9cba,Webb
d28f2a29-7ae2-f011-8543-000d3a3b9cba,Calvert
d38f2a29-7ae2-f011-8543-000d3a3b9cba,Camden
d48f2a29-7ae2-f011-8543-000d3a3b9cba,Montgomery
d58f2a29-7ae2-f011-8543-000d3a3b9cba,Saint Stephens
d68f2a29-7ae2-f011-8543-000d3a3b9cba,Camp Hill
d78f2a29-7ae2-f011-8543-000d3a3b9cba,Wedowee
d88f2a29-7ae2-f011-8543-000d3a3b9cba,Campbell
d98f2a29-7ae2-f011-8543-000d3a3b9cba,Wellington
da8f2a29-7ae2-f011-8543-000d3a3b9cba,Salem
db8f2a29-7ae2-f011-8543-000d3a3b9cba,Montrose
dc8f2a29-7ae2-f011-8543-000d3a3b9cba,Capshaw
dd8f2a29-7ae2-f011-8543-000d3a3b9cba,Carbon Hill
de8f2a29-7ae2-f011-8543-000d3a3b9cba,Weogufka
df8f2a29-7ae2-f011-8543-000d3a3b9cba,Salitpa
e08f2a29-7ae2-f011-8543-000d3a3b9cba,Moody
e18f2a29-7ae2-f011-8543-000d3a3b9cba,Cardiff
e28f2a29-7ae2-f011-8543-000d3a3b9cba,West Blocton
e38f2a29-7ae2-f011-8543-000d3a3b9cba,Carlton
e48f2a29-7ae2-f011-8543-000d3a3b9cba,Mooresville
e58f2a29-7ae2-f011-8543-000d3a3b9cba,West Greene
e68f2a29-7ae2-f011-8543-000d3a3b9cba,Samantha
e78f2a29-7ae2-f011-8543-000d3a3b9cba,Carrollton
e88f2a29-7ae2-f011-8543-000d3a3b9cba,Westover
e98f2a29-7ae2-f011-8543-000d3a3b9cba,Castleberry
ea8f2a29-7ae2-f011-8543-000d3a3b9cba,Samson
eb8f2a29-7ae2-f011-8543-000d3a3b9cba,Morris
ec8f2a29-7ae2-f011-8543-000d3a3b9cba,Catherine
ed8f2a29-7ae2-f011-8543-000d3a3b9cba,Wetumpka
ee8f2a29-7ae2-f011-8543-000d3a3b9cba,Saraland
ef8f2a29-7ae2-f011-8543-000d3a3b9cba,Morvin
f08f2a29-7ae2-f011-8543-000d3a3b9cba,Cecil
f18f2a29-7ae2-f011-8543-000d3a3b9cba,Cedar Bluff
f28f2a29-7ae2-f011-8543-000d3a3b9cba,Whatley
f38f2a29-7ae2-f011-8543-000d3a3b9cba,Sardis
f48f2a29-7ae2-f011-8543-000d3a3b9cba,Moulton
f58f2a29-7ae2-f011-8543-000d3a3b9cba,Centre
f68f2a29-7ae2-f011-8543-000d3a3b9cba,Centreville
f78f2a29-7ae2-f011-8543-000d3a3b9cba,Wilmer
f88f2a29-7ae2-f011-8543-000d3a3b9cba,Moundville
f98f2a29-7ae2-f011-8543-000d3a3b9cba,Satsuma
fa8f2a29-7ae2-f011-8543-000d3a3b9cba,Chancellor
fb8f2a29-7ae2-f011-8543-000d3a3b9cba,Chapman
fc8f2a29-7ae2-f011-8543-000d3a3b9cba,Wilsonville
fd8f2a29-7ae2-f011-8543-000d3a3b9cba,Sawyerville
fe8f2a29-7ae2-f011-8543-000d3a3b9cba,Mount Hope
ff8f2a29-7ae2-f011-8543-000d3a3b9cba,Chatom
00902a29-7ae2-f011-8543-000d3a3b9cba,Wilton
01902a29-7ae2-f011-8543-000d3a3b9cba,Chelsea
02902a29-7ae2-f011-8543-000d3a3b9cba,Mount Meigs
03902a29-7ae2-f011-8543-000d3a3b9cba,Sayre
04902a29-7ae2-f011-8543-000d3a3b9cba,Winfield
05902a29-7ae2-f011-8543-000d3a3b9cba,Cherokee
06902a29-7ae2-f011-8543-000d3a3b9cba,Wing
07902a29-7ae2-f011-8543-000d3a3b9cba,Scottsboro
08902a29-7ae2-f011-8543-000d3a3b9cba,Mount Olive
09902a29-7ae2-f011-8543-000d3a3b9cba,Childersburg
0a902a29-7ae2-f011-8543-000d3a3b9cba,Woodland
0b902a29-7ae2-f011-8543-000d3a3b9cba,Woodstock
0c902a29-7ae2-f011-8543-000d3a3b9cba,Seale
0d902a29-7ae2-f011-8543-000d3a3b9cba,Choccolocco
0e902a29-7ae2-f011-8543-000d3a3b9cba,Mount Vernon
0f902a29-7ae2-f011-8543-000d3a3b9cba,Woodville
10902a29-7ae2-f011-8543-000d3a3b9cba,Chunchula
11902a29-7ae2-f011-8543-000d3a3b9cba,York
12902a29-7ae2-f011-8543-000d3a3b9cba,Section
13902a29-7ae2-f011-8543-000d3a3b9cba,Citronelle
14902a29-7ae2-f011-8543-000d3a3b9cba,Mulga
15902a29-7ae2-f011-8543-000d3a3b9cba,Adona
16902a29-7ae2-f011-8543-000d3a3b9cba,Clanton
17902a29-7ae2-f011-8543-000d3a3b9cba,Alco
18902a29-7ae2-f011-8543-000d3a3b9cba,Selma
19902a29-7ae2-f011-8543-000d3a3b9cba,Munford
1a902a29-7ae2-f011-8543-000d3a3b9cba,Clay
1b902a29-7ae2-f011-8543-000d3a3b9cba,Alexander
1c902a29-7ae2-f011-8543-000d3a3b9cba,Clayton
1d902a29-7ae2-f011-8543-000d3a3b9cba,Seminole
1e902a29-7ae2-f011-8543-000d3a3b9cba,Alicia
1f902a29-7ae2-f011-8543-000d3a3b9cba,Muscadine
20902a29-7ae2-f011-8543-000d3a3b9cba,Cleveland
21902a29-7ae2-f011-8543-000d3a3b9cba,Alix
22902a29-7ae2-f011-8543-000d3a3b9cba,Semmes
23902a29-7ae2-f011-8543-000d3a3b9cba,Clinton
24902a29-7ae2-f011-8543-000d3a3b9cba,Alleene
25902a29-7ae2-f011-8543-000d3a3b9cba,Muscle Shoals
26902a29-7ae2-f011-8543-000d3a3b9cba,Clio
27902a29-7ae2-f011-8543-000d3a3b9cba,Alma
28902a29-7ae2-f011-8543-000d3a3b9cba,Shannon
29902a29-7ae2-f011-8543-000d3a3b9cba,Clopton
2a902a29-7ae2-f011-8543-000d3a3b9cba,Myrtlewood
2b902a29-7ae2-f011-8543-000d3a3b9cba,Almyra
2c902a29-7ae2-f011-8543-000d3a3b9cba,Cloverdale
2d902a29-7ae2-f011-8543-000d3a3b9cba,Sheffield
