ppds_stateid,ppds_name
38055782-fae1-f011-8543-000d3a3b9cba,Alaska
39055782-fae1-f011-8543-000d3a3b9cba,Alabama
3a055782-fae1-f011-8543-000d3a3b9cba,Arkansas
3b055782-fae1-f011-8543-000d3a3b9cba,Arizona
3c055782-fae1-f011-8543-000d3a3b9cba,California
3d055782-fae1-f011-8543-000d3a3b9cba,Colorado
3e055782-fae1-f011-8543-000d3a3b9cba,Connecticut
3f055782-fae1-f011-8543-000d3a3b9cba,District of Columbia
40055782-fae1-f011-8543-000d3a3b9cba,Delaware
41055782-fae1-f011-8543-000d3a3b9cba,Florida
42055782-fae1-f011-8543-000d3a3b9cba,Georgia
43055782-fae1-f011-8543-000d3a3b9cba,Hawaii
44055782-fae1-f011-8543-000d3a3b9cba,Iowa
45055782-fae1-f011-8543-000d3a3b9cba,Idaho
46055782-fae1-f011-8543-000d3a3b9cba,Illinois
47055782-fae1-f011-8543-000d3a3b9cba,Indiana
48055782-fae1-f011-8543-000d3a3b9cba,Kansas
49055782-fae1-f011-8543-000d3a3b9cba,Kentucky
4a055782-fae1-f011-8543-000d3a3b9cba,Louisiana
4b055782-fae1-f011-8543-000d3a3b9cba,Massachusetts
4c055782-fae1-f011-8543-000d3a3b9cba,Maryland
4d055782-fae1-f011-8543-000d3a3b9cba,Maine
4e055782-fae1-f011-8543-000d3a3b9cba,Michigan
4f055782-fae1-f011-8543-000d3a3b9cba,Minnesota
50055782-fae1-f011-8543-000d3a3b9cba,Missouri
51055782-fae1-f011-8543-000d3a3b9cba,Mississippi
52055782-fae1-f011-8543-000d3a3b9cba,Montana
53055782-fae1-f011-8543-000d3a3b9cba,North Carolina
54055782-fae1-f011-8543-000d3a3b9cba,North Dakota
55055782-fae1-f011-8543-000d3a3b9cba,Nebraska
56055782-fae1-f011-8543-000d3a3b9cba,New Hampshire
57055782-fae1-f011-8543-000d3a3b9cba,New Jersey
58055782-fae1-f011-8543-000d3a3b9cba,New Mexico
59055782-fae1-f011-8543-000d3a3b9cba,Nevada
5a055782-fae1-f011-8543-000d3a3b9cba,New York
5b055782-fae1-f011-8543-000d3a3b9cba,Ohio
5c055782-fae1-f011-8543-000d3a3b9cba,Oklahoma
5d055782-fae1-f011-8543-000d3a3b9cba,Oregon
5e055782-fae1-f011-8543-000d3a3b9cba,Pennsylvania
5f055782-fae1-f011-8543-000d3a3b9cba,Rhode Island
60055782-fae1-f011-8543-000d3a3b9cba,South Carolina
61055782-fae1-f011-8543-000d3a3b9cba,South Dakota
62055782-fae1-f011-8543-000d3a3b9cba,Tennessee
63055782-fae1-f011-8543-000d3a3b9cba,Texas
64055782-fae1-f011-8543-000d3a3b9cba,Utah
65055782-fae1-f011-8543-000d3a3b9cba,Virginia
66055782-fae1-f011-8543-000d3a3b9cba,Vermont
67055782-fae1-f011-8543-000d3a3b9cba,Washington
68055782-fae1-f011-8543-000d3a3b9cba,Wisconsin
69055782-fae1-f011-8543-000d3a3b9cba,West Virginia
6a055782-fae1-f011-8543-000d3a3b9cba,Wyoming
58a62831-3be9-f011-8543-000d3a3b9cba,
59a62831-3be9-f011-8543-000d3a3b9cba,
5aa62831-3be9-f011-8543-000d3a3b9cba,
5ba62831-3be9-f011-8543-000d3a3b9cba,
5ca62831-3be9-f011-8543-000d3a3b9cba,
5da62831-3be9-f011-8543-000d3a3b9cba,
5ea62831-3be9-f011-8543-000d3a3b9cba,
5fa62831-3be9-f011-8543-000d3a3b9cba,
60a62831-3be9-f011-8543-000d3a3b9cba,
61a62831-3be9-f011-8543-000d3a3b9cba,
62a62831-3be9-f011-8543-000d3a3b9cba,
63a62831-3be9-f011-8543-000d3a3b9cba,
